VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,09/14/2017 04:10:02 PM,09/14/2017 04:22:34 PM,1,1.95,1,N,90,50,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
2,09/14/2017 04:23:39 PM,09/14/2017 04:43:54 PM,1,1.27,1,N,50,161,1,13.0,1.0,0.5,2.96,0.0,0.3,17.76
2,09/14/2017 04:45:12 PM,09/14/2017 04:57:10 PM,1,1.31,1,N,162,237,1,9.0,1.0,0.5,2.16,0.0,0.3,12.96
1,09/14/2017 04:02:51 PM,09/14/2017 04:23:57 PM,1,1.6,1,N,234,230,2,13.5,1.0,0.5,0.0,0.0,0.3,15.3
1,09/14/2017 04:25:30 PM,09/14/2017 04:37:42 PM,1,0.7,1,N,230,161,2,8.5,1.0,0.5,0.0,0.0,0.3,10.3
1,09/14/2017 04:39:39 PM,09/14/2017 05:25:24 PM,1,11.2,1,N,162,138,1,37.0,1.0,0.5,8.9,5.76,0.3,53.46
1,09/14/2017 04:00:40 PM,09/14/2017 04:22:51 PM,1,1.5,1,N,143,163,2,14.0,1.0,0.5,0.0,0.0,0.3,15.8
1,09/14/2017 04:25:38 PM,09/14/2017 04:31:43 PM,1,1.1,1,N,162,170,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
1,09/14/2017 04:33:53 PM,09/14/2017 04:42:22 PM,1,1.3,1,N,170,113,1,7.5,1.0,0.5,2.3,0.0,0.3,11.6
1,09/14/2017 04:49:17 PM,09/14/2017 05:13:39 PM,1,1.7,1,N,113,170,1,15.0,1.0,0.5,3.35,0.0,0.3,20.15
2,09/14/2017 04:18:06 PM,09/14/2017 04:27:36 PM,2,1.06,1,N,79,249,2,7.5,1.0,0.5,0.0,0.0,0.3,9.3
2,09/14/2017 04:35:18 PM,09/14/2017 04:59:23 PM,2,2.62,1,N,249,13,1,16.0,1.0,0.5,3.56,0.0,0.3,21.36
2,09/14/2017 04:30:03 PM,09/14/2017 04:43:57 PM,1,2.11,1,N,42,41,2,11.0,1.0,0.5,0.0,0.0,0.3,12.8
2,09/14/2017 04:51:49 PM,09/14/2017 04:58:11 PM,1,1.05,1,N,75,238,2,6.0,1.0,0.5,0.0,0.0,0.3,7.8
1,09/14/2017 04:08:41 PM,09/14/2017 05:01:10 PM,2,13.8,1,N,138,231,1,44.5,1.0,0.5,15.6,5.76,0.3,67.66
1,09/14/2017 04:12:10 PM,09/14/2017 04:46:04 PM,1,4.5,1,N,230,13,2,22.0,1.0,0.5,0.0,0.0,0.3,23.8
1,09/14/2017 04:50:32 PM,09/14/2017 04:57:43 PM,1,1.2,1,N,13,88,1,6.5,1.0,0.5,1.65,0.0,0.3,9.95
1,09/14/2017 04:59:52 PM,09/14/2017 05:19:15 PM,1,3.1,1,N,87,97,1,14.0,1.0,0.5,4.7,0.0,0.3,20.5
2,09/14/2017 04:08:13 PM,09/14/2017 04:21:43 PM,1,1.06,1,N,186,161,1,9.5,1.0,0.5,0.0,0.0,0.3,11.3
2,09/14/2017 04:22:59 PM,09/14/2017 04:38:29 PM,1,1.06,1,N,161,170,1,10.5,1.0,0.5,2.0,0.0,0.3,14.3
2,09/14/2017 04:40:07 PM,09/14/2017 06:24:32 PM,1,15.66,2,N,170,132,1,52.0,4.5,0.5,12.61,5.76,0.3,75.67
1,09/14/2017 04:49:13 PM,09/14/2017 05:01:11 PM,1,1.4,1,N,186,107,1,9.0,1.0,0.5,2.15,0.0,0.3,12.95
1,09/14/2017 04:18:16 PM,09/14/2017 04:37:53 PM,1,2.6,1,N,107,232,3,14.0,1.0,0.5,0.0,0.0,0.3,15.8
1,09/14/2017 04:49:01 PM,09/14/2017 05:12:52 PM,1,1.5,1,N,137,170,1,14.5,1.0,0.5,2.0,0.0,0.3,18.3
1,09/14/2017 04:12:05 PM,09/14/2017 04:25:23 PM,1,1.2,1,N,43,141,1,9.5,1.0,0.5,2.25,0.0,0.3,13.55
1,09/14/2017 04:26:50 PM,09/14/2017 04:30:20 PM,1,0.5,1,N,141,237,2,4.5,1.0,0.5,0.0,0.0,0.3,6.3
1,09/14/2017 04:32:30 PM,09/14/2017 04:44:32 PM,1,2.0,1,N,237,238,1,10.0,1.0,0.5,2.36,0.0,0.3,14.16
1,09/14/2017 04:49:59 PM,09/14/2017 04:57:04 PM,1,0.7,1,N,238,236,2,6.5,1.0,0.5,0.0,0.0,0.3,8.3
1,09/14/2017 04:59:19 PM,09/14/2017 05:08:06 PM,1,1.6,1,N,236,238,1,8.0,1.0,0.5,1.95,0.0,0.3,11.75
1,09/14/2017 04:18:07 PM,09/14/2017 04:55:04 PM,1,4.2,1,N,170,231,1,23.0,1.0,0.5,4.95,0.0,0.3,29.75
2,09/14/2017 04:15:58 PM,09/14/2017 04:23:24 PM,1,1.03,1,N,163,48,1,6.5,1.0,0.5,1.66,0.0,0.3,9.96
2,09/14/2017 04:24:55 PM,09/14/2017 05:39:05 PM,1,7.69,1,N,50,256,1,47.5,1.0,0.5,12.32,0.0,0.3,61.62
2,09/14/2017 04:18:07 PM,09/14/2017 04:20:53 PM,1,0.41,1,N,143,143,1,4.0,1.0,0.5,1.0,0.0,0.3,6.8
2,09/14/2017 04:24:52 PM,09/14/2017 04:37:04 PM,1,0.62,1,N,142,163,1,8.5,1.0,0.5,0.0,0.0,0.3,10.3
2,09/14/2017 04:41:35 PM,09/14/2017 06:12:42 PM,1,16.95,2,N,237,132,1,52.0,4.5,0.5,0.0,0.0,0.3,57.3
1,09/14/2017 04:04:10 PM,09/14/2017 05:30:38 PM,1,16.7,2,N,162,132,1,52.0,4.5,0.5,12.6,5.76,0.3,75.66
